ENTRY ,AEL VRH bulk modulus ,AEL elastic anisotropy ,AEL Poisson ratio ,AEL VRH shear modulus ,space group ,Pearson symbol ,DATA
Li4Sb4Sr4 [5af42c7746ab7767],33.7159,0.341425,0.198079,25.4897,62 - Pnma,oP12,"[API, Out, JSON ]"
Li5N2Na1 [9c4713aee4ecae68],61.4931,0.863914,0.328476,23.8188,123 - P4/mmm,tP8,"[API, Out, JSON ]"
Li8O8Pb2 [49df2492bd59b040],66.2776,0.243914,0.258968,38.0669,63 - Cmcm,oS36,"[API, Out, JSON ]"
Lu1Ni1Sb1 [35bb8c6d60e01291],82.1444,0.0535656,0.217574,57.1621,216 - F43m,cF12,"[API, Out, JSON ]"
Lu1Pt1Sb1 [deaeb93166bef077],112.094,0.0327913,0.300429,51.608,216 - F43m,cF12,"[API, Out, JSON ]"
Lu1Ru2Si2 [ac55adabd5745493],161.329,0.35248,0.295593,76.3589,139 - I4/mmm,tI10,"[API, Out, JSON ]"
Lu4Mg2S8 [22a108834598b8fc],60.7722,0.364942,0.305232,27.2054,227 - Fd3m,cF56,"[API, Out, JSON ]"
Lu4Mn2S8 [1df8d8b7bd88a0d9],65.7013,0.403778,0.325843,25.8907,227 - Fd3m,cF56,"[API, Out, JSON ]"
Mg12Ni8Ti4 [f92b9de51b948041],80.2056,0.0856893,0.269394,43.712,227 - Fd3m,cF96,"[API, Out, JSON ]"
Mg1Ni1Sb1 [db7fb2c0e9137069],80.9722,0.00212921,0.279941,41.7644,216 - F43m,cF12,"[API, Out, JSON ]"
Mg1Ni2Sb1 [0eb94dfdbfc25d94],115.278,1.18121,0.323364,46.1602,225 - Fm3m,cF16,"[API, Out, JSON ]"
Mg1Ni2Sn1 [8dbf2001b9aa573a],115.033,1.07569,0.325173,45.5282,225 - Fm3m,cF16,"[API, Out, JSON ]"
Mg1O6Pt3 [fbf7007f7f9bfc24],188.314,1.35408,0.326233,74.0204,65 - Cmmm,oS20,"[API, Out, JSON ]"
Mg1P1Pd5 [3301d0c6f9cfb671],143.712,0.769354,0.340188,51.4112,123 - P4/mmm,tP7,"[API, Out, JSON ]"
Mg1P1Pt5 [633c61cbece8044f],205.768,0.742983,0.354273,66.4255,123 - P4/mmm,tP7,"[API, Out, JSON ]"
Mg1Pd1Sb1 [98f3a203422d16b0],80.5778,0.101301,0.33734,29.4018,216 - F43m,cF12,"[API, Out, JSON ]"
Mg1Pt1Sb1 [691b027393bb9c65],90.4611,0.0836557,0.359152,28.1234,216 - F43m,cF12,"[API, Out, JSON ]"
Mg2Mo2N4 [f64ab77ceb83f1d1],240.287,0.0806769,0.200515,179.829,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Mg2O12Sb4 [e69027ae6de22ce9],163.611,0.925675,0.249984,98.1738,136 - P42/mnm,tP18,"[API, Out, JSON ]"
Mg2O12Ta4 [7fd64b51bde9d992],175.016,0.851805,0.264503,97.7829,136 - P42/mnm,tP18,"[API, Out, JSON ]"
Mg2O6Si2 [e93b29409f63fff3],199.665,1.53484,0.268522,109.304,63 - Cmcm,oS20,"[API, Out, JSON ]"
Mg2O6V2 [4a7151b29f2f78d7],109.033,6.25711,0.395441,24.5093,65 - Cmmm,oS20,"[API, Out, JSON ]"
Mg2O6V2 [578a0494a9c0a3af],109.806,2.46237,0.361529,33.5025,36 - Cmc21,oS20,"[API, Out, JSON ]"
Mg2O8Rh4 [db5b416ef80ecb90],169.417,0.192031,0.342176,59.764,227 - Fd3m,cF56,"[API, Out, JSON ]"
Mg2Pd4Tb4 [1ab5984a25e0fad9],76.3589,0.640652,0.345041,26.3913,127 - P4/mbm,tP10,"[API, Out, JSON ]"
Mg2Ru2Sn8 [b2d8803094b73e80],72.0692,0.147441,0.242192,44.8724,140 - I4/mcm,tI24,"[API, Out, JSON ]"
Mg2S8Sc4 [7b7316ff4eca8bb5],69.3444,0.744618,0.332852,26.0887,227 - Fd3m,cF56,"[API, Out, JSON ]"
Mg2Sc4Se8 [2f92b5230c0e951e],56.3389,0.804453,0.336715,20.6461,227 - Fd3m,cF56,"[API, Out, JSON ]"
Mg2Se8Y4 [3a3a58a5748e494d],51.8944,0.453931,0.335517,19.1741,227 - Fd3m,cF56,"[API, Out, JSON ]"
Mg3Nb6O11 [e1a5980dd6febefe],182.273,0.0810774,0.291573,88.243,164 - P3m1,hP20,"[API, Out, JSON ]"
Mg3Ni20P6 [655ab2ddd3620729],173.4,0.0131114,0.330677,66.1933,225 - Fm3m,cF116,"[API, Out, JSON ]"
Mg3Pd3Y3 [c6bc297ce67afd1d],72.3841,0.446197,0.390716,17.0641,189 - P62m,hP9,"[API, Out, JSON ]"
Mg3Tl3Y3 [ef38f4ae340f3eab],54.296,0.23114,0.208803,39.2392,189 - P62m,hP9,"[API, Out, JSON ]"
Mg3Y3Zn3 [e081c96078c82715],53.2767,2.91203,0.283003,27.0323,189 - P62m,hP9,"[API, Out, JSON ]"
Mg4N6P2 [ec47b7ccd1c1a1ff],150.256,0.425202,0.258283,86.5926,36 - Cmc21,oS24,"[API, Out, JSON ]"
Mg4N8Si4 [dc6f44aa31385360],172.961,0.230297,0.248104,104.722,33 - Pna21,oP16,"[API, Out, JSON ]"
Mg4O12Se4 [5c15618551d7a263],79.5289,0.272146,0.231982,51.9047,62 - Pnma,oP20,"[API, Out, JSON ]"
Mg4O12Si4 [fe60676520725e77],229.067,0.0798774,0.221479,156.695,62 - Pnma,oP20,"[API, Out, JSON ]"
Mg4O8Si2 [5919341cd70d27f4],174.122,0.0705019,0.225787,116.855,227 - Fd3m,cF56,"[API, Out, JSON ]"
Mg4O8Si2 [45ac1f4e78abcb1a],113.087,0.846424,0.255885,65.9446,164 - P3m1,hP14,"[API, Out, JSON ]"
Mg4O8Sn2 [1470a16b34543fd4],136.344,1.31688,0.301591,62.3512,227 - Fd3m,cF56,"[API, Out, JSON ]"
Mg4P6Rh7 [b6b68e3ce6f473e4],154.15,0.00987567,0.296738,72.4885,229 - Im3m,cI34,"[API, Out, JSON ]"
Mg4Pt2Si2 [20d4ad4ecbdeb31b],98.2292,0.294053,0.255801,57.3041,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Mg4Si4Sr4 [f042ff3e31d7288b],43.3882,0.632121,0.19644,33.0252,62 - Pnma,oP12,"[API, Out, JSON ]"
Mg5Pd10Si16 [8cedcb1ba9290de3],113.344,0.0265829,0.283925,57.2249,216 - F43m,cF124,"[API, Out, JSON ]"
Mg5Pt10Si16 [ff262e7ee45e80fb],128.083,0.0298312,0.291869,61.9059,216 - F43m,cF124,"[API, Out, JSON ]"
Mg6Mn1O8 [eb36961ca96e91f2],135.617,0.115283,0.202998,100.445,225 - Fm3m,cF60,"[API, Out, JSON ]"
Mg6Ni16Si7 [ffedd7c8005a3f68],145.856,0.00522174,0.259822,83.4198,225 - Fm3m,cF116,"[API, Out, JSON ]"
Mn1Ni1P1 [559897ac6b06a09b],114.672,0.0735111,0.370501,32.5061,216 - F43m,cF12,"[API, Out, JSON ]"
Mn1Ni1Sb1 [e6f3bc0e8697632a],91.1944,5.59E-05,0.328161,35.3965,216 - F43m,cF12,"[API, Out, JSON ]"
Mn1Ni2Sb1 [d90f15e6f6182ab4],125.928,3.35567,0.367196,36.6965,225 - Fm3m,cF16,"[API, Out, JSON ]"
Mn1Ni4Y1 [eb3a6bade325f99e],115.789,0.0479462,0.319404,47.5465,216 - F43m,cF24,"[API, Out, JSON ]"
Mn1Ni6O8 [7a01a306ce3197f7],162.706,0.0144498,0.279984,83.9023,225 - Fm3m,cF60,"[API, Out, JSON ]"
Mn1Pb1Rh2 [d6f010030d72ed38],139.883,1.17034,0.335669,51.6306,225 - Fm3m,cF16,"[API, Out, JSON ]"
Mn1Pd1Te1 [f73da054af2b5cd8],81.7111,0.955263,0.390793,19.2483,216 - F43m,cF12,"[API, Out, JSON ]"
Mn1Pd2Sb1 [49a2f312cc482251],114.267,3.17721,0.384509,28.5953,225 - Fm3m,cF16,"[API, Out, JSON ]"
Mn1Pd2Sn1 [59ba3fe3ff6e783a],115.972,2.38107,0.36537,34.3058,225 - Fm3m,cF16,"[API, Out, JSON ]"
Mn1Pt1Sb1 [8d75f7f2de74d7d6],97.1889,0.272236,0.346201,33.3105,216 - F43m,cF12,"[API, Out, JSON ]"
Mn1Pt1Sn1 [beb90a8e2539674a],94.7833,0.0309923,0.364475,28.2427,216 - F43m,cF12,"[API, Out, JSON ]"
Mn1Rh1Sb1 [e99d218b8d90c080],106.072,0.0204239,0.362561,32.0979,216 - F43m,cF12,"[API, Out, JSON ]"
Mn1Rh2Sn1 [6cacc67ee04755fc],154.289,1.09577,0.323775,61.6182,225 - Fm3m,cF16,"[API, Out, JSON ]"
Mn2N6Sr6 [2b1e6903fdc2363e],58.2425,0.106267,0.269477,31.7285,176 - P63/m,hP14,"[API, Out, JSON ]"
Mn2Na2O4 [dbe982bf7361573d],88.6396,0.821466,0.219164,61.2546,59 - Pmmn,oP8,"[API, Out, JSON ]"
Mn2Nb6S12 [2b250ef584095fbe],69.502,0.956244,0.235542,44.6291,182 - P6322,hP20,"[API, Out, JSON ]"
Mn2O3Ta1 [54475cf2acb8b6ca],150.97,0.297455,0.309062,66.061,191 - P6/mmm,hP6,"[API, Out, JSON ]"
Mn2O6Y2 [8a9778f9666443aa],155.288,0.328206,0.312393,66.5955,194 - P63/mmc,hP10,"[API, Out, JSON ]"
Mn2S8Sc4 [4193aacf3248ebee],69.5111,0.519779,0.333593,26.021,227 - Fd3m,cF56,"[API, Out, JSON ]"
Mn2Sc4Se8 [00cd175b0c3d7492],57.7667,0.789945,0.345736,19.8656,227 - Fd3m,cF56,"[API, Out, JSON ]"
Mn2Se6Th2 [4d7c8c08e42f2c50],66.3544,0.286558,0.307913,29.2354,63 - Cmcm,oS20,"[API, Out, JSON ]"
Mn2Si2Tb1 [2b7444c5b5ebcd49],85.2974,0.132798,0.204344,62.8192,139 - I4/mmm,tI10,"[API, Out, JSON ]"
Mn2Si2Y1 [03272c182775a496],83.9097,0.100096,0.204249,61.8221,139 - I4/mmm,tI10,"[API, Out, JSON ]"
Mn2Sn1W1 [dc4a8cdea27c1b5c],212.522,0.00824847,0.271074,114.829,225 - Fm3m,cF16,"[API, Out, JSON ]"
Mn3Nb6O11 [b934bbf45ba4a3b2],178.793,0.267762,0.32303,71.7465,164 - P3m1,hP20,"[API, Out, JSON ]"
Mn3P3Rh3 [a73212389e365daf],134.158,0.464819,0.328122,52.0858,189 - P62m,hP9,"[API, Out, JSON ]"
Mn4Nb4P4 [b1f37e8516f1f1b4],242.034,0.107919,0.288659,119.081,62 - Pnma,oP12,"[API, Out, JSON ]"
Mn4Ni4Si4 [0d64cd2ce9711ac4],96,0.00276343,0.33284,36.12,216 - F43m,cF12,"[API, Out, JSON ]"
Mn4O10Sr4 [ec7dc4dd0833ad1e],110.963,0.21783,0.264321,62.053,55 - Pbam,oP18,"[API, Out, JSON ]"
Mn4O12Sr4 [fac1a5f72a9f715b],116.956,0.270911,0.258141,67.4492,194 - P63/mmc,hP20,"[API, Out, JSON ]"
Mn4O14Sb4 [b1f0715636739c9c],154.456,0.00649397,0.26177,87.4866,227 - Fd3m,cF88,"[API, Out, JSON ]"
Mn4O14Tl4 [9aa441c460318dd7],155.878,0.0455742,0.29611,73.5629,227 - Fd3m,cF88,"[API, Out, JSON ]"
Mn4O14Y4 [3a4a6876faf133b0],175.067,0.00344626,0.252137,103.964,227 - Fd3m,cF88,"[API, Out, JSON ]"
Mn4P4Zr4 [b2b66b1f00b148f9],118.382,0.412863,0.236717,75.6067,62 - Pnma,oP12,"[API, Out, JSON ]"
Mn4Si4Tb4 [26746da8e6373765],96.2782,0.603491,0.243363,59.6171,62 - Pnma,oP12,"[API, Out, JSON ]"
Mn4Te8Zn2 [07eae5aae7ba2e7d],42.1944,0.278643,0.415651,7.54221,227 - Fd3m,cF56,"[API, Out, JSON ]"
Mn6Sn6Zr1 [81af2a8653989a81],54.389,0.0457391,0.269575,29.6144,191 - P6/mmm,hP13,"[API, Out, JSON ]"
Mo16N4Ni8 [e564a862d099a479],271.5,0.00866374,0.323635,108.526,227 - Fd3m,cF112,"[API, Out, JSON ]"
Mo2Na4O8 [3fd26c9566499a1b],51.4056,0.00551302,0.232015,33.5449,227 - Fd3m,cF56,"[API, Out, JSON ]"
Mo2Ni2P4 [1b216f9a100f4d9f],187.096,0.318479,0.259399,107.231,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Mo2O12Rh4 [ab19cb2176f3e811],216.51,3.02617,0.329861,83.0991,136 - P42/mnm,tP18,"[API, Out, JSON ]"
Mo2Pt4Si6 [e302af201dceaadb],195.937,0.308239,0.291358,94.9713,26 - Pmc21,oP12,"[API, Out, JSON ]"
Mo3Ni3P3 [edb81c429b8382c7],236.782,0.276601,0.334146,88.3064,189 - P62m,hP9,"[API, Out, JSON ]"
Mo3P3Zr3 [a3bba9d7eb921660],195.325,0.0643057,0.259814,111.717,189 - P62m,hP9,"[API, Out, JSON ]"
Mo4P4Rh4 [95d30c8563173fc5],235.385,0.696076,0.310027,102.402,62 - Pnma,oP12,"[API, Out, JSON ]"
Mo4Si4Zr4 [21743b49dc8fa937],175.768,0.515808,0.260736,100.073,62 - Pnma,oP12,"[API, Out, JSON ]"
